tp,fp,tn,fn,sensitivity,specificity,precision,f1,false_negative_rate,false_positive_rate,accuracy,held_out,rung,seed,threshold,n,positives,prevalence,auroc,auprc,mae
9,20,1366,19,0.321429,0.985570,0.310345,0.315789,0.678571,0.014430,0.972419,Georgia,rung4b_spatial_cavity,2,120,1414,28,0.019802,0.929422,0.273091,23.768131
4,8,1378,24,0.142857,0.994228,0.333333,0.200000,0.857143,0.005772,0.977369,Georgia,rung4b_spatial_cavity,3,120,1414,28,0.019802,0.940760,0.244084,22.702552
6,17,1369,22,0.214286,0.987734,0.260870,0.235294,0.785714,0.012266,0.972419,Georgia,rung4b_spatial_cavity,4,120,1414,28,0.019802,0.940115,0.246296,23.749157
1,1,390,7,0.125000,0.997442,0.500000,0.200000,0.875000,0.002558,0.979950,Kazakhstan,agentic_best_spatcav,0,120,399,8,0.020050,0.984974,0.482870,16.941447
2,0,391,6,0.250000,1.000000,1.000000,0.400000,0.750000,0.000000,0.984962,Kazakhstan,agentic_best_spatcav,1,120,399,8,0.020050,0.986893,0.651335,16.501689
1,0,391,7,0.125000,1.000000,1.000000,0.222222,0.875000,0.000000,0.982456,Kazakhstan,agentic_best_spatcav,2,120,399,8,0.020050,0.985294,0.633993,16.679525
1,0,391,7,0.125000,1.000000,1.000000,0.222222,0.875000,0.000000,0.982456,Kazakhstan,agentic_best_spatcav,3,120,399,8,0.020050,0.987852,0.620455,16.462168
1,0,391,7,0.125000,1.000000,1.000000,0.222222,0.875000,0.000000,0.982456,Kazakhstan,agentic_best_spatcav,4,120,399,8,0.020050,0.983376,0.565925,17.129616
1,1,390,7,0.125000,0.997442,0.500000,0.200000,0.875000,0.002558,0.979950,Kazakhstan,rung1_bmc,0,120,399,8,0.020050,0.984335,0.478801,17.358083
2,0,391,6,0.250000,1.000000,1.000000,0.400000,0.750000,0.000000,0.984962,Kazakhstan,rung1_bmc,1,120,399,8,0.020050,0.985294,0.633054,16.367031
4,0,391,4,0.500000,1.000000,1.000000,0.666667,0.500000,0.000000,0.989975,Kazakhstan,rung1_bmc,2,120,399,8,0.020050,0.986893,0.772037,17.314626
1,0,391,7,0.125000,1.000000,1.000000,0.222222,0.875000,0.000000,0.982456,Kazakhstan,rung1_bmc,3,120,399,8,0.020050,0.986573,0.704437,18.000638
2,1,390,6,0.250000,0.997442,0.666667,0.363636,0.750000,0.002558,0.982456,Kazakhstan,rung1_bmc,4,120,399,8,0.020050,0.975064,0.559385,17.584120
0,0,391,8,0.000000,1.000000,,,1.000000,0.000000,0.979950,Kazakhstan,rung1_mse,0,120,399,8,0.020050,0.984335,0.459968,17.805245
0,0,391,8,0.000000,1.000000,,,1.000000,0.000000,0.979950,Kazakhstan,rung1_mse,1,120,399,8,0.020050,0.983696,0.528644,17.449799
0,0,391,8,0.000000,1.000000,,,1.000000,0.000000,0.979950,Kazakhstan,rung1_mse,2,120,399,8,0.020050,0.980499,0.458534,19.011609
2,0,391,6,0.250000,1.000000,1.000000,0.400000,0.750000,0.000000,0.984962,Kazakhstan,rung1_mse,3,120,399,8,0.020050,0.985934,0.566419,18.882460
0,0,391,8,0.000000,1.000000,,,1.000000,0.000000,0.979950,Kazakhstan,rung1_mse,4,120,399,8,0.020050,0.975384,0.413730,19.428583
1,1,390,7,0.125000,0.997442,0.500000,0.200000,0.875000,0.002558,0.979950,Kazakhstan,rung4b_spatial_cavity,0,120,399,8,0.020050,0.984974,0.481355,16.979698
