mode,rung,loss,standardize,retrieval,alpha,cavity_loss,cavity_thr,alp_head,ensemble,held_out,seed,n_test,alp_mae,cavity_auc,cavity_f1,timika_mae,timika_pearson,timika_mae_ci_lo,timika_mae_ci_hi,conformal_cov,conformal_width,base_timika_mae,paper_timika_mae,cav_best_val_ce,verdict
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Romania,1,220,12.287725448608398,,,20.18156628879634,0.6472858543989122,18.291860676719384,22.07906631335616,0.9045454545454544,82.5343189239502,20.26,18.7,0.529326856136322,within-noise
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Romania,2,220,12.419652938842772,,,20.07822814096104,0.6559217642363606,18.204808191927995,22.162230903939765,0.8909090909090909,82.60143661499023,20.26,18.7,0.5664180517196655,within-noise
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Romania,3,220,12.291836738586426,,,19.12084178165956,0.6885817895356516,17.246372218115766,21.08314942142638,0.8954545454545455,80.94386301040649,20.26,18.7,0.5793893933296204,within-noise
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Romania,4,220,13.198461532592772,,,20.246346240097832,0.6480027143055733,18.25522492781146,22.32986223838004,0.9,84.30435028076172,20.26,18.7,0.5446211695671082,within-noise
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,0,589,22.439348220825195,,,23.65770319124244,0.8154082180989126,21.88086887359107,25.40290036065964,0.8030560271646859,85.23889389038087,26.16,18.85,0.5669577717781067,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,1,589,20.49435043334961,,,21.75740039547959,0.7973145256335887,20.13920999793529,23.447851997124623,0.8285229202037352,82.75251159667968,26.16,18.85,0.545996904373169,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,2,589,21.61508178710937,,,22.0397614098592,0.7841681521217819,20.53923688525615,23.49092157334956,0.8573853989813243,84.49335021972658,26.16,18.85,0.5653663277626038,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,3,589,20.830108642578125,,,21.570606215422146,0.7943229105449663,19.97314660101117,23.188281848830613,0.8471986417657046,85.37991142272949,26.16,18.85,0.5528581738471985,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Moldova,4,589,20.44231986999512,,,22.694219933677918,0.8109102752058912,20.97149885581784,24.34390951482051,0.8081494057724957,80.52386474609375,26.16,18.85,0.58884596824646,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Kazakhstan,0,399,10.338417053222656,,,17.16355510755888,0.7898946157454471,15.620878834913398,18.643216863733183,0.899749373433584,81.06869812011719,21.9,19.62,0.5771103501319885,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Kazakhstan,1,399,10.593732833862305,,,16.341596283223993,0.7992484598528893,14.776617827959976,17.867947922374743,0.9273182957393484,82.52484359741212,21.9,19.62,0.5406512022018433,BEATS
fusion,rung6_conformal,bmc,none,False,0.0,ce,0.5,mlp,10,Kazakhstan,2,399,10.462932586669922,,,16.961848247140868,0.7841704065254961,15.470799972035527,18.45244690982396,0.9047619047619048,83.00461235046387,21.9,19.62,0.5351744890213013,BEATS
